community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Arlington,Apr,7.336666666666667,16-18,2.466666666666667,4.87,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Aug,2.8866666666666667,16-18,2.466666666666667,0.41999999999999993,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Dec,4.78,16-18,2.466666666666667,2.3133333333333335,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Feb,5.64,16-18,2.466666666666667,3.173333333333333,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Jan,5.426666666666668,16-18,2.466666666666667,2.960000000000001,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Jul,3.3033333333333337,16-18,2.466666666666667,0.8366666666666669,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Jun,3.893333333333333,16-18,2.466666666666667,1.4266666666666663,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Mar,6.323333333333333,16-18,2.466666666666667,3.8566666666666665,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,May,4.926666666666667,16-18,2.466666666666667,2.46,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Nov,5.4,16-18,2.466666666666667,2.9333333333333336,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Oct,3.413333333333333,16-18,2.466666666666667,0.9466666666666663,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Arlington,Sep,2.9400000000000004,16-18,2.466666666666667,0.4733333333333336,FY20,FY20 Actuals,TRUE,7.336666666666667,4.87
Ashland,Apr,1.6166666666666667,16-18,0.8,0.8166666666666667,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Aug,1.0566666666666666,16-18,0.8,0.2566666666666666,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Dec,1.3333333333333333,16-18,0.8,0.5333333333333332,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Feb,1.47,16-18,0.8,0.6699999999999999,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Jan,1.43,16-18,0.8,0.6299999999999999,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Jul,1.0466666666666666,16-18,0.8,0.2466666666666666,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Jun,1.1666666666666667,16-18,0.8,0.3666666666666667,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Mar,1.5133333333333334,16-18,0.8,0.7133333333333334,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,May,1.3,16-18,0.8,0.5,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Nov,1.4266666666666665,16-18,0.8,0.6266666666666665,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Oct,1.17,16-18,0.8,0.3699999999999999,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
Ashland,Sep,1.07,16-18,0.8,0.27,FY20,FY20 Actuals,TRUE,1.6166666666666667,0.8166666666666667
